pregunta;respuesta;texto_embedding;categoria_nombre;categoria_completa
Dónde está Adidas;Adidas está en el nivel 1 calle, puedes entrar por dentro de MUT o por la calle Apoquindo;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde está Adidas | RESPUESTA: Adidas está en el nivel 1 calle, puedes entrar por dentro de MUT o por la calle Apoquindo;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde está Natura;Natura está en el nivel -3;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde está Natura | RESPUESTA: Natura está en el nivel -3;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde están los baños de MUT;Hay baños en los siguientes pisos: -Piso -4: bajando por las escaleras mecánicas desde el -3, llegas al -4 y sales al estacionamiento, donde está señalizado el baño - Piso -2 al lado del local de comida LOCA PASTA - Piso -2 al frente del local de comida RIENDA SUELTA - Piso -1 al lado de la florería EL FLORISTA - Piso -1 al lado de la tienda BATH & BLANC - Piso 2 de frente a las escaleras mecánicas que suben al piso 2 - Piso 3 al lado de la Librería Azafrán;CATEGORIA: Preguntas sobre ubicación de baños | PREGUNTA: Dónde están los baños de MUT | RESPUESTA: Hay baños en los siguientes pisos: -Piso -4: bajando por las escaleras mecánicas desde el -3, llegas al -4 y sales al estacionamiento, donde está señalizado el baño - Piso -2 al lado del local de comida LOCA PASTA - Piso -2 al frente del local de comida RIENDA SUELTA - Piso -1 al lado de la florería EL FLORISTA - Piso -1 al lado de la tienda BATH & BLANC - Piso 2 de frente a las escaleras mecánicas que suben al piso 2 - Piso 3 al lado de la Librería Azafrán;Preguntas sobre ubicación de baños;2 Preguntas sobre ubicación de baños
Dónde encuentro más lugares para sentarme a comer en MUT;Hay 2 sectores grandes para comer en el piso -2: uno está arriba del local WOK y otro arriba del local DON CESAR;CATEGORIA: Búsqueda de sectores para sentarse a comer | PREGUNTA: Dónde encuentro más lugares para sentarme a comer en MUT | RESPUESTA: Hay 2 sectores grandes para comer en el piso -2: uno está arriba del local WOK y otro arriba del local DON CESAR;Búsqueda de sectores para sentarse a comer;3 Búsqueda de sectores para sentarse a comer
Dónde está el Jardín;En el piso 3 de MUT está el Jardín;CATEGORIA: Dónde está el jardín de MUT | PREGUNTA: Dónde está el Jardín | RESPUESTA: En el piso 3 de MUT está el Jardín;Dónde está el jardín de MUT;4 Dónde está el jardín de MUT
Cuál es la estación de metro que está cercana a MUT;El metro que está a la salida de MUT es el metro estación Tobalaba;CATEGORIA: Cómo llegar al metro desde MUT | PREGUNTA: Cuál es la estación de metro que está cercana a MUT | RESPUESTA: El metro que está a la salida de MUT es el metro estación Tobalaba;Cómo llegar al metro desde MUT;5 Cómo llegar al metro desde MUT
Cómo llego al metro desde MUT, dónde está;El metro está en el piso -3 de MUT, en la salida central principal del piso;CATEGORIA: Cómo llegar al metro desde MUT | PREGUNTA: Cómo llego al metro desde MUT, dónde está | RESPUESTA: El metro está en el piso -3 de MUT, en la salida central principal del piso;Cómo llegar al metro desde MUT;5 Cómo llegar al metro desde MUT
Cuáles son las salidas de MUT;Para salir a la calle ROGER DE FLOR: debes ir al piso 1 y caminar a la izquierda, salida donde está la tienda LA FETE Para salir a la calle APOQUINDO: debes ir al piso 1 y caminar a la derecha, salida donde está la tienda FJALL RAVEN Para salir a la calle ENCOMENDEROS: debes ir al piso -1 y al lado de la cafetería AURA, está la escalera que sale a Encomenderos Para salir a la calle ENCOMENDEROS, puedes bajar por la escalera mecánica que está en el piso 3 de MUT Desde el jardín, puedes salir a la calle El Bosque Norte, bajando por las escaleras mecánicas que están en el piso 3 de MUT;CATEGORIA: Información sobre salidas de MUT | PREGUNTA: Cuáles son las salidas de MUT | RESPUESTA: Para salir a la calle ROGER DE FLOR: debes ir al piso 1 y caminar a la izquierda, salida donde está la tienda LA FETE Para salir a la calle APOQUINDO: debes ir al piso 1 y caminar a la derecha, salida donde está la tienda FJALL RAVEN Para salir a la calle ENCOMENDEROS: debes ir al piso -1 y al lado de la cafetería AURA, está la escalera que sale a Encomenderos Para salir a la calle ENCOMENDEROS, puedes bajar por la escalera mecánica que está en el piso 3 de MUT Desde el jardín, puedes salir a la calle El Bosque Norte, bajando por las escaleras mecánicas que están en el piso 3 de MUT;Información sobre salidas de MUT;6 Información sobre salidas de MUT
Cómo salgo a la calle Roger de flor desde MUT;Para salir a la calle ROGER DE FLOR, debes ir al piso 1 y caminar a la izquierda, salida donde está la tienda LA FETE;CATEGORIA: Información sobre salidas de MUT | PREGUNTA: Cómo salgo a la calle Roger de flor desde MUT | RESPUESTA: Para salir a la calle ROGER DE FLOR, debes ir al piso 1 y caminar a la izquierda, salida donde está la tienda LA FETE;Información sobre salidas de MUT;6 Información sobre salidas de MUT
Cómo salgo a la calle Apoquindo desde MUT;Para salir a la calle APOQUINDO, debes ir al piso 1 y caminar a la derecha, hacia salida donde está la tienda FJALL RAVEN;CATEGORIA: Información sobre salidas de MUT | PREGUNTA: Cómo salgo a la calle Apoquindo desde MUT | RESPUESTA: Para salir a la calle APOQUINDO, debes ir al piso 1 y caminar a la derecha, hacia salida donde está la tienda FJALL RAVEN;Información sobre salidas de MUT;6 Información sobre salidas de MUT
Cómo salgo a la calle Encomenderos desde MUT;Para salir a la calle ENCOMENDEROS: debes ir al piso -1 y al lado de la cafetería AURA, está la escalera que sale a Encomenderos;CATEGORIA: Información sobre salidas de MUT | PREGUNTA: Cómo salgo a la calle Encomenderos desde MUT | RESPUESTA: Para salir a la calle ENCOMENDEROS: debes ir al piso -1 y al lado de la cafetería AURA, está la escalera que sale a Encomenderos;Información sobre salidas de MUT;6 Información sobre salidas de MUT
Cómo llego a las oficinas de MUT;Para ir al edificio de oficinas MUT Roger de Flor, debes ir al piso 1 y salir hacia la izquierda, donde está la tienda de chocolates La Fete. Ahí te econtrarás con una puerta roja que es la entrada al edificio Para ir al edificio de oficinas MUT Apoquindo, debes ir al piso 1 y salir hacia la derecha, donde está la tienda deportiva Fjall Raven. Ahí te econtrarás con una puerta roja que es la entrada al edificio;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Cómo llego a las oficinas de MUT | RESPUESTA: Para ir al edificio de oficinas MUT Roger de Flor, debes ir al piso 1 y salir hacia la izquierda, donde está la tienda de chocolates La Fete. Ahí te econtrarás con una puerta roja que es la entrada al edificio Para ir al edificio de oficinas MUT Apoquindo, debes ir al piso 1 y salir hacia la derecha, donde está la tienda deportiva Fjall Raven. Ahí te econtrarás con una puerta roja que es la entrada al edificio;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Cómo llego a las oficinas de MUT Roger de Flor;Para ir al edificio de oficinas MUT Roger de Flor, debes ir al piso 1 y salir hacia la izquierda, donde está la tienda de chocolates La Fete. Ahí te econtrarás con una puerta roja que es la entrada al edificio;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Cómo llego a las oficinas de MUT Roger de Flor | RESPUESTA: Para ir al edificio de oficinas MUT Roger de Flor, debes ir al piso 1 y salir hacia la izquierda, donde está la tienda de chocolates La Fete. Ahí te econtrarás con una puerta roja que es la entrada al edificio;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Cómo llego a las oficinas de MUT Apoquindo;Para ir al edificio de oficinas MUT Apoquindo, debes ir al piso 1 y salir hacia la derecha, donde está la tienda deportiva Fjall Raven. Ahí te econtrarás con una puerta roja que es la entrada al edificio;CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Cómo llego a las oficinas de MUT Apoquindo | RESPUESTA: Para ir al edificio de oficinas MUT Apoquindo, debes ir al piso 1 y salir hacia la derecha, donde está la tienda deportiva Fjall Raven. Ahí te econtrarás con una puerta roja que es la entrada al edificio;Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Por qué calles están las entradas de estacionamientos de autos de MUT;Si vienes en auto, puedes entrar al estacionamiento de MUT por las calles El Bosque Norte 50 y Encomenderos 65, pisos -7 al -9;CATEGORIA: Información sobre estacionamientos | PREGUNTA: Por qué calles están las entradas de estacionamientos de autos de MUT | RESPUESTA: Si vienes en auto, puedes entrar al estacionamiento de MUT por las calles El Bosque Norte 50 y Encomenderos 65, pisos -7 al -9;Información sobre estacionamientos;8 Información sobre estacionamientos
En qué pisos están los estacionamientos de autos de MUT;Los estacionamientos de autos para uso público de MUT están en los pisos -7, -8 y -9;CATEGORIA: Información sobre estacionamientos | PREGUNTA: En qué pisos están los estacionamientos de autos de MUT | RESPUESTA: Los estacionamientos de autos para uso público de MUT están en los pisos -7, -8 y -9;Información sobre estacionamientos;8 Información sobre estacionamientos
Cómo llego al estacionamiento de autos MUT;Para ir al estacionamiento de autos de MUT, debes bajar por las escaleras mecánicas centrales de MUT o tomar los ascensores. Los estacionamientos de uso público están en los pisos -7, -8 y -9 de MUT. También hay valet parking los fines de semana.;CATEGORIA: Información sobre estacionamientos | PREGUNTA: Cómo llego al estacionamiento de autos MUT | RESPUESTA: Para ir al estacionamiento de autos de MUT, debes bajar por las escaleras mecánicas centrales de MUT o tomar los ascensores. Los estacionamientos de uso público están en los pisos -7, -8 y -9 de MUT. También hay valet parking los fines de semana.;Información sobre estacionamientos;8 Información sobre estacionamientos
Cómo llego en bicicleta o caminando al estacionamiento de bicicletas MUT (Bicihub);"Para ir al estacionamiento de bicicletas o ""bici hub"" MUT, debes: - ir caminando al piso -1 y lo encontrarás al fondo (donde está la tienda de bicicletas) - entrar caminando o en bicicleta por la calle Roger de Flor ó - entrar en caminando o en bicicleta por la calle El Bosque Norte 50 , al lado de la entrada de autos MUT";"CATEGORIA: Información sobre estacionamientos | PREGUNTA: Cómo llego en bicicleta o caminando al estacionamiento de bicicletas MUT (Bicihub) | RESPUESTA: Para ir al estacionamiento de bicicletas o ""bici hub"" MUT, debes: - ir caminando al piso -1 y lo encontrarás al fondo (donde está la tienda de bicicletas) - entrar caminando o en bicicleta por la calle Roger de Flor ó - entrar en caminando o en bicicleta por la calle El Bosque Norte 50 , al lado de la entrada de autos MUT";Información sobre estacionamientos;8 Información sobre estacionamientos
Tengo un problema, emergencia, necesito ayuda;Si necesitas asistencia por cualqueir tipo de problema, favor acércate al módulo de servicio al cliente, ubicado en el piso -3 de MUT, al fondo, entre Pastelería Jo y Farmacias Ahumada;CATEGORIA: Emergencias | PREGUNTA: Tengo un problema, emergencia, necesito ayuda | RESPUESTA: Si necesitas asistencia por cualqueir tipo de problema, favor acércate al módulo de servicio al cliente, ubicado en el piso -3 de MUT, al fondo, entre Pastelería Jo y Farmacias Ahumada;Emergencias;9 Emergencias
Dónde están los camarines de los estacionamientos de bicicletas;"Los camarines del estacionamiento de bicicletas o ""bicihub"" de MUT, están en el piso -1, al fondo, atrás de la tienda de bicicletas";"CATEGORIA: Otras preguntas | PREGUNTA: Dónde están los camarines de los estacionamientos de bicicletas | RESPUESTA: Los camarines del estacionamiento de bicicletas o ""bicihub"" de MUT, están en el piso -1, al fondo, atrás de la tienda de bicicletas";Otras preguntas;10 Otras preguntas
Dónde está servicio al cliente o SAC o informaciones de MUT;Servicio al cliente, informaciones o SAC MUT, está en el piso -3 al fondo, al lado de Pastelería Jo y Farmacias Ahumada;CATEGORIA: Otras preguntas | PREGUNTA: Dónde está servicio al cliente o SAC o informaciones de MUT | RESPUESTA: Servicio al cliente, informaciones o SAC MUT, está en el piso -3 al fondo, al lado de Pastelería Jo y Farmacias Ahumada;Otras preguntas;10 Otras preguntas
Dónde puedo pedir un coche o una silla de ruedas;Si necesitas un coche de niños o una silla de ruedas, debes acercarte al módulo de servicio al cliente que está en el piso -3 de MUT, al fondo, al lado de Pastelería Jo y Framacias Ahumada;CATEGORIA: Otras preguntas | PREGUNTA: Dónde puedo pedir un coche o una silla de ruedas | RESPUESTA: Si necesitas un coche de niños o una silla de ruedas, debes acercarte al módulo de servicio al cliente que está en el piso -3 de MUT, al fondo, al lado de Pastelería Jo y Framacias Ahumada;Otras preguntas;10 Otras preguntas
