titulo,content,link,rss,horario,web,url_web,lugar,nivel,local,telefono,mail,tipo,texto_embedding,document_type,search_category
El Taller,"¿Qué es El Taller?..El Taller, Club de Helado y Café, nace el año 2015, con un equipo comprometido con hacer helado artesanal de Alta Calidad con cartas innovadoras en cada temporada del año. Especialistas en innovación con desarrollos especiales como la primera Carta de Sabores de Chile en Heladería, los primeros (segundos en el mundo) en desarrollar helados para la dieta KETO y otros desarrollos diversos como Mandarinas de Limarí, Merengue Frambuesa, Avellanas de Linares, Pistacho de Lampa y muchos más. Elegidos la 39o mejor heladería del Mundo, tercera de Sudamérica por The Daily Meal en su última edición publicada en 2018..Te podría interesar..#ffffff.0Heladería.",https://mut.cl/restaurante/el-taller/,https://www.instagram.com/eltallerchile; https://www.facebook.com/eltallercl/,L-V: 08:30 - 21:00 S-D: 09:30 - 21:00,www.eltallerchile.cl,https://www.eltallerchile.cl/,Nivel 1,1,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: El Taller | ¿Qué es El Taller?..El Taller, Club de Helado y Café, nace el año 2015, con un equipo comprometido con hacer helado artesanal de Alta Calidad con cartas innovadoras en cada temporada del año. Especialistas en innovación con desarrollos especiales como la primera Carta de Sabores de Chile en Heladería, los primeros (segundos en el mundo) en desarrollar helados para la dieta KETO y otros desarrollos diversos como Mandarinas de Limarí, Merengue Frambuesa, Avellanas de Linares, Pistacho de Lampa y muchos más. Elegidos la 39o mejor heladería del Mundo, tercera de Sudamérica por The Daily Meal en su última edición publicada en 2018..Te podría interesar..#ffffff.0Heladería. | UBICACION: Nivel 1 - Nivel 1 | HORARIO: L-V: 08:30 - 21:00 S-D: 09:30 - 21:00 | CONTACTO: Web: www.eltallerchile.cl",restaurante,gastronomia
Auguri,"¿Qué es Auguri?..Auguri busca llevar a todo público lo mejor de la alta gelateria artesanal. Para esto usamos ingredientes frescos sin ningún tipo de saborizantes o colorantes, sino que solo el sabor y aroma de pistachos, fruta fresca y chocolate de la mejor calidad. Por eso nuestros clientes siempre repiten &#8220;I love Auguri&#8221;!.Te podría interesar..#ffffff.0Cocina vegana.",https://mut.cl/restaurante/auguri/,https://www.instagram.com/iloveauguri/,L-D: 10:00 - 20:00,www.iloveauguri.cl,https://www.iloveauguri.cl/,Nivel 3,3,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Auguri | ¿Qué es Auguri?..Auguri busca llevar a todo público lo mejor de la alta gelateria artesanal. Para esto usamos ingredientes frescos sin ningún tipo de saborizantes o colorantes, sino que solo el sabor y aroma de pistachos, fruta fresca y chocolate de la mejor calidad. Por eso nuestros clientes siempre repiten &#8220;I love Auguri&#8221;!.Te podría interesar..#ffffff.0Cocina vegana. | UBICACION: Nivel 3 - Nivel 3 | HORARIO: L-D: 10:00 - 20:00 | CONTACTO: Web: www.iloveauguri.cl",restaurante,gastronomia
The Coffee,"¿Qué es The Coffee?..Alta calidad, perfeccionismo, minimalismo y optimización del espacio son algunas de las características que inspiraron la creación de The Coffee..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cafetería.",https://mut.cl/restaurante/the-coffee/,https://www.instagram.com/thecoffee.chile/?hl=es,L-V: 08:30 - 20:00 S-D: 10:00 - 20:00,www.thecoffee.jp,https://thecoffee.jp/,Nivel -1,-1,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: The Coffee | ¿Qué es The Coffee?..Alta calidad, perfeccionismo, minimalismo y optimización del espacio son algunas de las características que inspiraron la creación de The Coffee..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cafetería. | UBICACION: Nivel -1 - Nivel -1 | HORARIO: L-V: 08:30 - 20:00 S-D: 10:00 - 20:00 | CONTACTO: Web: www.thecoffee.jp",restaurante,gastronomia
Pasteles Orientales,"¿Qué es Pasteles Orientales?..Dulces y Comida árabe de tradición. Pasteles Orientales desde 1954, pioneros de la comida y dulces árabe en Chile..Te podría interesar..#ffffff.0Dulces.Repostería.",https://mut.cl/restaurante/pasteles-orientales/,https://www.instagram.com/pasteles.orientales/,L-S: 10:00 - 21:00,ww.pastelesorientales.cl,https://pastelesorientales.cl/,Nivel -2,-2,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Pasteles Orientales | ¿Qué es Pasteles Orientales?..Dulces y Comida árabe de tradición. Pasteles Orientales desde 1954, pioneros de la comida y dulces árabe en Chile..Te podría interesar..#ffffff.0Dulces.Repostería. | UBICACION: Nivel -2 - Nivel -2 | HORARIO: L-S: 10:00 - 21:00 | CONTACTO: Web: ww.pastelesorientales.cl",restaurante,gastronomia
La Verità,¿Qué es La Verità?..Vive la experiencia italiana en casa con ingredientes premium y recetas auténticas. Descubre la dulzura del auténtico cannoli siciliano..Te podría interesar..#ffffff.0Repostería.,https://mut.cl/restaurante/la-verita/,https://www.instagram.com/laverita.cl/,L-S: 10:00 - 21:00,www.laverita.cl,https://www.laverita.cl/,Nivel -2,-2,,,,Restaurante,COCINA: Restaurante | RESTAURANTE: La Verità | ¿Qué es La Verità?..Vive la experiencia italiana en casa con ingredientes premium y recetas auténticas. Descubre la dulzura del auténtico cannoli siciliano..Te podría interesar..#ffffff.0Repostería. | UBICACION: Nivel -2 - Nivel -2 | HORARIO: L-S: 10:00 - 21:00 | CONTACTO: Web: www.laverita.cl,restaurante,gastronomia
Ciao Amore,"¿Qué es Ciao Amore?..Ciao Amore es una heladería artesanal chilena que se inspira en el gelato italiano para ofrecer una experiencia única de sabor y calidez. Con ingredientes naturales y una cuidada estética, cada helado es elaborado con dedicación, buscando entregar no solo un producto de calidad, sino también un momento para disfrutar y compartir. Su nombre refleja su esencia: cercanía, belleza y amor por lo bien hecho..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Heladería.",https://mut.cl/restaurante/ciao-amore/,https://www.instagram.com/ciaoamore_chile?utm_source=ig_web_button_share_sheet&igsh=ejNveGRicmQ4Y2x1,L-D: 10:00 - 20:00,,,Nivel -1,-1,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Ciao Amore | ¿Qué es Ciao Amore?..Ciao Amore es una heladería artesanal chilena que se inspira en el gelato italiano para ofrecer una experiencia única de sabor y calidez. Con ingredientes naturales y una cuidada estética, cada helado es elaborado con dedicación, buscando entregar no solo un producto de calidad, sino también un momento para disfrutar y compartir. Su nombre refleja su esencia: cercanía, belleza y amor por lo bien hecho..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Heladería. | UBICACION: Nivel -1 - Nivel -1 | HORARIO: L-D: 10:00 - 20:00",restaurante,gastronomia
Chinga tu Taco,"¿Qué es Chinga tu Taco?..En Chinga Tu Taco, no le tenemos miedo a nada. Especialmente cuando se trata de sabor ¿Estás listo para sentir la emoción del sabor?.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Acai.Cocinería.",https://mut.cl/restaurante/chinga-tu-taco/,https://www.instagram.com/chingatutacochile/?hl=es; https://www.facebook.com/chingatutacochile,L-D: 10:00 - 21:00,,,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Chinga tu Taco | ¿Qué es Chinga tu Taco?..En Chinga Tu Taco, no le tenemos miedo a nada. Especialmente cuando se trata de sabor ¿Estás listo para sentir la emoción del sabor?.Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Acai.Cocinería. | UBICACION: Nivel -2 | HORARIO: L-D: 10:00 - 21:00",restaurante,gastronomia
Cevichería al Paso,"¿Qué es Al Paso Cevichería?..Cuando entras a Al Paso Cevichería, te sumerges en un espacio donde la frescura del mar se transforma en sabores únicos, preparados al gusto. Somos una empresa familiar que nació en 2016 en Algarrobo, con el sueño de ofrecer comida rápida que no sacrificara calidad ni autenticidad. Hoy también estamos presentes en el vibrante Mercado Urbano Tobalaba (MUT) en Santiago, y pronto abriremos una nueva sucursal en Viña del Mar, para seguir acercando nuestra propuesta a más personas. Aquí tú decides cómo será tu plato: eliges la proteína, las salsas, el crunch, y nosotros lo preparamos frente a ti, para que disfrutes de un ceviche hecho exactamente como te gusta. También puedes elegir entre nuestros sándwich marinos, donde cada ingrediente fue seleccionado con dedicación y cariño. Al Paso Cevichería no es solo comida: es tu espacio para redescubrir la cocina del mar con libertad y buen gusto..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cocinería.",https://mut.cl/restaurante/cevicheria-al-paso/,https://www.instagram.com/alpasocevicheria?utm_source=ig_web_button_share_sheet&igsh=MWUxdHE2bnJpdWdnMQ==; https://www.tiktok.com/@cevicherialpaso?_t=ZM-8y8lyNxlroz&_r=1,L-D: 11:30 - 20:00,,,Nivel -2,,,,alpasocevicheria@gmail.com,Restaurante,"COCINA: Restaurante | RESTAURANTE: Cevichería al Paso | ¿Qué es Al Paso Cevichería?..Cuando entras a Al Paso Cevichería, te sumerges en un espacio donde la frescura del mar se transforma en sabores únicos, preparados al gusto. Somos una empresa familiar que nació en 2016 en Algarrobo, con el sueño de ofrecer comida rápida que no sacrificara calidad ni autenticidad. Hoy también estamos presentes en el vibrante Mercado Urbano Tobalaba (MUT) en Santiago, y pronto abriremos una nueva sucursal en Viña del Mar, para seguir acercando nuestra propuesta a más personas. Aquí tú decides cómo será tu plato: eliges la proteína, las salsas, el crunch, y nosotros lo preparamos frente a ti, para que disfrutes de un ceviche hecho exactamente como t | UBICACION: Nivel -2 | HORARIO: L-D: 11:30 - 20:00 | CONTACTO: Email: alpasocevicheria@gmail.com",restaurante,gastronomia
Diablo Vino &#038; Fuego,"¿Qué es Diablo Vino &#038; Fuego?..Somos la comunidad de los amantes de una buena copa, buenos platos y buena compañía. Para disfrutar de nuestra carta no tienes que saber de vino, solo debes decidir qué estilo te gustaría descubrir hoy..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.Vinos.",https://mut.cl/restaurante/diablo-vino-fuego/,https://www.instagram.com/diablo.restaurant/,Lunes a miércoles: 12:30-22:30. Jueves a sábado: 12:30-23:30. Domingo: 13:00-17:30,www.diablorestaurant.com,https://diablorestaurant.com/,Nivel 5,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Diablo Vino &#038; Fuego | ¿Qué es Diablo Vino &#038; Fuego?..Somos la comunidad de los amantes de una buena copa, buenos platos y buena compañía. Para disfrutar de nuestra carta no tienes que saber de vino, solo debes decidir qué estilo te gustaría descubrir hoy..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Restaurante.Vinos. | UBICACION: Nivel 5 | HORARIO: Lunes a miércoles: 12:30-22:30. Jueves a sábado: 12:30-23:30. Domingo: 13:00-17:30 | CONTACTO: Web: www.diablorestaurant.com",restaurante,gastronomia
Potato Patata,"¿Qué es Potato Patata?..Somos un local ubicado en MUT (Mercado Urbano Tobalaba), especializado en papas fritas naturales servidas en conos compostables de distintos tamaños. Trabajamos con insumos frescos y proveedores exigentes, lo que se refleja en la alta calidad de nuestros productos y en la excelente recepción del público que valora nuestra propuesta..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cocinería.",https://mut.cl/restaurante/potato-patata/,https://www.instagram.com/potatopatata_cl/,L-S: 12:00 - 21:00 D: 12:00 - 20.00,www.potatopatata.cl,https://www.potatopatata.cl/,Nivel -2,,,,,Restaurante,"COCINA: Restaurante | RESTAURANTE: Potato Patata | ¿Qué es Potato Patata?..Somos un local ubicado en MUT (Mercado Urbano Tobalaba), especializado en papas fritas naturales servidas en conos compostables de distintos tamaños. Trabajamos con insumos frescos y proveedores exigentes, lo que se refleja en la alta calidad de nuestros productos y en la excelente recepción del público que valora nuestra propuesta..Te podría interesar.Descubre nuevos sabores y una variada oferta gastronómica en MUT..0Cocinería. | UBICACION: Nivel -2 | HORARIO: L-S: 12:00 - 21:00 D: 12:00 - 20.00 | CONTACTO: Web: www.potatopatata.cl",restaurante,gastronomia
